upper_band,lower_band,severe_ratio,cooldown_ms,move_budget,tau_ms,use_smoothed_load,total_moves,total_load_moved,avg_mm_smooth,worst_mm_smooth,avg_mm_reported,worst_mm_reported,avg_cv_smooth,worst_cv_smooth,avg_cv_reported,worst_cv_reported
1.0500,0.7000,1.5000,0,0.0100,300000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,30000,0.0100,60000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,30000,0.0100,0,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,30000,0.0100,300000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,30000,0.0100,30000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,30000,0.0100,60000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,120000,0.0100,0,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,30000,0.0100,300000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,120000,0.0100,30000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,120000,0.0100,60000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,120000,0.0100,0,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,120000,0.0100,30000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.7000,1.5000,120000,0.0100,300000,true,4,287.16,1.125801,1.485856,1.217424,2.003448,0.121982,0.309297,0.169535,0.579941
1.0500,0.7000,1.5000,120000,0.0100,60000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.8000,1.5000,0,0.0100,0,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0500,0.8000,1.5000,0,0.0100,30000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0500,0.7000,1.5000,120000,0.0100,300000,false,59,6176.20,1.164637,1.485856,1.164637,1.485856,0.123086,0.309297,0.123086,0.309297
1.0500,0.8000,1.5000,0,0.0100,0,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0500,0.8000,1.5000,0,0.0100,60000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0500,0.8000,1.5000,0,0.0100,30000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0500,0.8000,1.5000,0,0.0100,300000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0500,0.8000,1.5000,0,0.0100,60000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0500,0.8000,1.5000,30000,0.0100,0,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0500,0.8000,1.5000,0,0.0100,300000,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0500,0.8000,1.5000,30000,0.0100,30000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
1.0500,0.8000,1.5000,30000,0.0100,0,false,754,52619.00,1.138065,1.479928,1.138065,1.479928,0.102303,0.277299,0.102303,0.277299
1.0500,0.8000,1.5000,30000,0.0100,60000,true,14,517.65,1.108531,1.429704,1.172120,1.843560,0.082946,0.249896,0.131450,0.487249
